# Engine name: FYDPish lite
# Sat Apr 17 00:41:15 2021
#
#************************************************************************************************************************************************************************************
# Results of nested analysis
#------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
# Ratio, O/F     pc, psi  Nozzle inl  Nozzle exi  rho, kg/m^       Tc, K           M       gamma           k     c*, m/s   Is opt, s   Is vac, s      Cf opt      Cf vac    c.factor 
#------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
     2.4000    325.0000      0.0000      1.0000      0.0000   2118.8372     20.8473      1.2607      1.2605   1391.3403    199.8122    222.5887      1.4083      1.5689      1.0000 
     2.4000    350.0000      0.0000      1.0000      0.0000   2118.9224     20.8475      1.2608      1.2606   1391.3376    201.4810    223.7227      1.4201      1.5769      1.0000 
     2.4000    375.0000      0.0000      1.0000      0.0000   2118.9992     20.8477      1.2609      1.2607   1391.3352    202.9998    224.7628      1.4308      1.5842      1.0000 
     2.4000    400.0000      0.0000      1.0000      0.0000   2119.0691     20.8478      1.2609      1.2608   1391.3330    204.3914    225.7234      1.4406      1.5910      1.0000 
     2.4000    425.0000      0.0000      1.0000      0.0000   2119.1331     20.8480      1.2610      1.2609   1391.3310    205.6741    226.6161      1.4497      1.5973      1.0000 
     2.4000    450.0000      0.0000      1.0000      0.0000   2119.1919     20.8481      1.2611      1.2609   1391.3292    206.8625    227.4503      1.4581      1.6032      1.0000 
     2.4000    475.0000      0.0000      1.0000      0.0000   2119.2464     20.8483      1.2612      1.2610   1391.3275    207.9687    228.2340      1.4658      1.6087      1.0000 
     2.4000    500.0000      0.0000      1.0000      0.0000   2119.2969     20.8484      1.2612      1.2611   1391.3259    209.0028    228.9734      1.4731      1.6139      1.0000 
     2.4000    525.0000      0.0000      1.0000      0.0000   2119.3441     20.8485      1.2613      1.2611   1391.3244    209.9732    229.6740      1.4800      1.6188      1.0000 
     2.4000    550.0000      0.0000      1.0000      0.0000   2119.3883     20.8487      1.2613      1.2612   1391.3231    210.8870    230.3399      1.4864      1.6235      1.0000 
     2.4000    575.0000      0.0000      1.0000      0.0000   2119.4297     20.8488      1.2614      1.2612   1391.3218    211.7501    230.9750      1.4925      1.6280      1.0000 
     2.4000    600.0000      0.0000      1.0000      0.0000   2119.4688     20.8489      1.2614      1.2613   1391.3206    212.5677    231.5820      1.4983      1.6323      1.0000 
